fund_code,fund_name,theme_hint,investability_hint,investability_note,is_current,latest_nav_date,latest_price,return_5d_pct,previous_5d_pct,acceleration_5d_pp,return_20d_pct,previous_20d_pct,acceleration_20d_pp,return_60d_pct,return_126d_pct,return_252d_pct,volatility_20d_ann_pct,max_drawdown_60d_pct,distance_from_60d_high_pct,portfolio_size_try,investor_count,history_observations,stock_pct,foreign_stock_pct,foreign_security_pct,foreign_etf_pct,precious_metals_pct,eurobond_pct,government_bond_pct,private_sector_bond_pct,investment_fund_pct,etf_pct,term_deposit_pct,repo_pct,reverse_repo_pct,derivative_pct,dataset_latest_date,breakdown_date,generated_at_local
DL2,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,2.4872,0.7666,0.7696,-0.003,3.1164,3.3829,-0.2665,10.1993,21.7101,47.7936,1.41,0.0,0.0,17588319625.96,671.0,304,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.6,0.0,0.0,0.0,0.0,68.45,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
DLY,DENİZ PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,6.0954,0.7593,0.7451,0.0142,3.0457,3.3049,-0.2592,10.0266,21.5948,47.0767,1.3654,0.0,0.0,84520454636.57,309982.0,304,0.0,0.0,0.0,0.0,0.0,0.0,14.14,1.86,0.0,0.0,0.0,0.0,52.85,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
DNP,DENİZ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.4394,0.7451,0.755,-0.0099,2.9959,3.3498,-0.3539,10.027,21.8131,,1.4119,0.0,0.0,1931074245.32,296.0,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
ECB,GLOBAL MD PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,53.629,0.7398,0.7431,-0.0033,3.0294,3.2982,-0.2688,10.0136,21.5279,46.5876,1.3392,0.0,0.0,827194750.72,3155.0,304,0.0,0.0,0.0,0.0,0.0,0.0,9.26,0.0,0.0,0.0,0.0,0.0,54.58,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
EDP,NEO PORTFÖY KORUNCUK EĞİTİME DESTEK PARA PİYASASI SERBEST FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.1725,0.7987,0.8017,-0.0029,3.1949,3.6236,-0.4287,10.6198,,,1.4577,0.0,0.0,69116902.16,53.0,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.22,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
EIL,ASTRA PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,5.294,0.7402,0.7652,-0.025,3.0967,3.4341,-0.3375,10.3055,22.4039,49.726,1.4018,0.0,0.0,987229167.83,1481.0,304,0.0,0.0,0.0,0.0,0.0,0.0,15.54,30.68,0.0,0.0,0.0,0.0,53.73,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
EKL,KUVEYT TÜRK PORTFÖY EMLAK KATILIM BANKASI PARA PİYASASI KATILIM FONU,Bankacılık / Finans,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.8288,0.7263,0.7101,0.0162,2.904,3.2408,-0.3368,9.75,21.2917,45.6738,1.3385,0.0,0.0,3268741313.17,1352.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
ENR,QNB PORTFÖY ENPARA PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.2081,0.7776,0.7557,0.0219,3.1075,3.3807,-0.2731,10.2311,,,1.3956,0.0,0.0,1798068401.42,12466.0,120,0.0,0.0,0.0,0.0,0.0,0.0,12.51,4.64,0.0,0.0,0.0,0.0,36.86,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
EP1,EMLAK KATILIM PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.0714,0.7301,0.728,0.0022,2.9445,3.3097,-0.3652,,,,1.3553,0.0,0.0,13392366669.49,1721.0,45,,,,,,,,,,,,,,,2026-08-24,2026-08-24,2026-08-24 09:12:33
EPA,EMAA BLUE PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.3809,0.666,0.7372,-0.0711,2.9757,3.3446,-0.3689,9.9943,21.6782,,1.4227,0.0,0.0,541289576.14,161.0,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
EPP,EMAA BLUE PORTFÖY PARA PİYASASI SERBEST FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.4851,0.7569,0.759,-0.0021,3.0737,3.4927,-0.419,10.4135,22.5727,,1.4115,0.0,0.0,1954294951.35,50.0,251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
EPT,EMAA BLUE PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.3401,0.7658,0.7579,0.0079,3.0992,3.3693,-0.2702,10.211,22.1169,,1.4153,0.0,0.0,1301772006.44,69.0,191,0.0,0.0,0.0,0.0,0.0,0.0,12.81,0.67,0.0,0.0,0.0,0.0,8.55,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
FFD,FİBA PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,0.0512,0.7615,0.7314,0.0301,3.0445,3.2644,-0.2199,10.011,21.8305,47.2666,1.3428,0.0,0.0,306492548.22,574.0,304,0.0,0.0,0.0,0.0,0.0,0.0,24.75,0.0,0.0,0.0,0.0,0.0,66.06,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
FHP,FİBA PORTFÖY ÖPY PARA PİYASASI SERBEST (TL) ÖZEL FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,3.4128,0.7555,0.7571,-0.0016,3.0617,3.4571,-0.3953,10.301,22.377,48.2058,1.4107,0.0,0.0,15339542785.15,49.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
FI5,QNB PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,744.6391,0.7516,0.7473,0.0044,3.0562,3.3363,-0.2801,10.0976,21.6574,47.2073,1.3714,0.0,0.0,115617714685.77,53093.0,304,0.0,0.0,0.0,0.0,0.0,0.0,13.75,2.88,0.0,0.0,0.0,0.0,35.25,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,0.373,0.7474,0.7517,-0.0043,3.0546,3.3586,-0.3039,10.158,21.7636,47.4902,1.3764,0.0,0.0,13975067940.0,21050.0,304,0.0,0.0,0.0,0.0,0.0,0.0,14.04,3.13,0.0,0.0,0.0,0.0,29.76,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
FPI,FONMAP PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,2.6445,0.7297,0.6587,0.071,2.9059,3.1785,-0.2726,9.6363,21.3859,45.8744,1.3963,-0.0066,0.0,65895361.63,166.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.34,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,6.9394,0.7445,0.7455,-0.001,3.0238,3.4221,-0.3983,10.1682,22.0111,47.4391,1.3945,0.0,0.0,11737986800.58,7748.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
FSK,QNB PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,6.1337,0.7567,0.7524,0.0044,3.1151,3.2878,-0.1727,10.1007,21.3284,47.3139,1.366,0.0,0.0,7143602017.4,2571.0,304,0.0,0.0,0.0,0.0,0.0,0.0,22.19,7.61,0.0,0.0,0.0,0.0,35.08,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
FTL,ONE PORTFÖY PARA PİYASASI KATILIM FONU,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.5364,0.7442,0.7295,0.0147,2.9732,3.3562,-0.383,9.991,21.675,46.3645,1.359,0.0,0.0,258597871.18,248.0,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GAL,GARANTİ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,410.5776,0.7393,0.7281,0.0112,3.0123,3.179,-0.1667,9.7878,20.6223,45.7417,1.3465,0.0,0.0,140037190982.78,58825.0,304,0.0,0.0,0.0,0.0,0.0,0.0,15.41,3.93,0.0,0.0,0.0,0.0,56.63,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GJH,GARANTİ PORTFÖY PARA PİYASASI SERBEST (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,3.9469,0.7395,0.735,0.0045,2.9892,3.3419,-0.3527,10.0112,21.8077,46.8412,1.3656,0.0,0.0,103666716989.54,24659.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GKH,GARANTİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,4.4961,0.7247,0.7163,0.0085,2.8951,3.2753,-0.3802,9.8267,21.3003,46.0744,1.3803,0.0,0.0,6371438657.54,1859.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GMN,GLOBAL MD PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.368,0.7565,0.721,0.0355,3.0249,3.3698,-0.3449,9.8863,21.6984,,1.3817,-0.0075,0.0,78387589.12,29.0,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GNP,GARANTİ PORTFÖY NEMA PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.4776,0.7517,0.7402,0.0115,3.0247,3.2531,-0.2284,9.8984,21.2407,46.2297,1.388,0.0,0.0,2421467097.54,6940.0,258,0.0,0.0,0.0,0.0,0.0,0.0,11.94,0.0,0.0,0.0,0.0,0.0,84.86,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GO6,ONE PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,4.2746,0.8178,0.8285,-0.0107,3.4036,3.3206,0.083,10.8465,24.3123,53.8638,1.5121,0.0,0.0,5593577704.86,4062.0,304,0.0,0.0,0.0,0.0,0.0,0.0,10.3,4.37,0.0,0.0,0.0,0.0,38.65,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GOP,GOLDEN GLOBAL PORTFÖY PARA PİYASASI KATILIM FONU,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.2214,0.7666,0.7654,0.0012,3.1375,3.5038,-0.3663,10.4866,,,1.4651,0.0,0.0,2062186834.67,1764.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GPN,GARANTİ PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.3952,0.7393,0.7568,-0.0175,3.0314,3.3709,-0.3395,10.0856,21.7542,,1.3578,0.0,0.0,5214552181.21,4906.0,218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GPZ,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.968,0.7802,0.7659,0.0143,3.1626,3.3353,-0.1727,10.19,21.8116,47.7145,1.3838,0.0,0.0,3103357638.96,164.0,304,0.0,0.0,0.0,0.0,0.0,0.0,22.7,14.52,0.0,0.0,0.0,0.0,31.02,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GTL,GARANTİ PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,0.1351,0.7586,0.7349,0.0237,3.0439,3.2459,-0.202,9.9559,21.2779,46.6644,1.371,0.0,0.0,203343217887.53,348552.0,304,0.0,0.0,0.0,0.0,0.0,0.0,11.01,2.59,0.0,0.0,0.0,0.0,46.33,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
GUC,GARANTİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI SERBEST (TL) ÖZEL FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.4712,0.765,0.7623,0.0027,3.0904,3.4344,-0.344,10.2938,22.5767,,1.4165,0.0,0.0,3182901086.99,1.0,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
HIP,HSBC PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,2.1782,0.7391,0.7336,0.0055,3.0202,3.5192,-0.499,10.3558,22.3611,47.9699,1.3648,0.0,0.0,2236503277.27,1257.0,304,0.0,0.0,0.0,0.0,0.0,0.0,9.89,0.0,0.0,0.0,0.0,0.0,80.65,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
HKJ,HEDEF PORTFÖY PARA PİYASASI SERBEST FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.4088,0.8503,0.8739,-0.0236,3.4912,3.7468,-0.2556,11.3267,24.9406,,1.6034,0.0,0.0,15096106835.74,2331.0,189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.77,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
HLL,ZİRAAT PORTFÖY HALKBANK PARA PİYASASI (TL) FONU,Bankacılık / Finans,EXCLUDE,Para piyasası fonu,True,2026-08-24,0.3835,0.7599,0.7511,0.0089,3.0762,3.3602,-0.284,10.1903,21.9858,47.2456,1.3773,0.0,0.0,52669101622.62,1031883.0,304,0.0,0.0,0.0,0.0,0.0,0.0,13.23,1.56,0.0,0.0,0.0,0.0,30.01,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
HPH,HEDEF PORTFÖY PARA PİYASASI KATILIM FONU,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,2.3856,0.7443,0.7427,0.0016,2.7131,3.0572,-0.3441,9.4548,21.321,46.1913,1.294,0.0,0.0,7013055467.13,9519.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
HSL,HSBC PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,413.9647,0.7345,0.7331,0.0014,3.0166,3.3262,-0.3096,10.0567,21.7691,47.0167,1.3654,0.0,0.0,26282918580.94,24344.0,304,0.0,0.0,0.0,0.0,0.0,0.0,10.05,0.0,0.0,0.0,0.0,0.0,65.81,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
HTF,HSBC PORTFÖY PARA PİYASASI SERBEST (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.4517,0.7414,0.7411,0.0003,3.0075,3.3666,-0.3591,10.0561,21.9294,,1.3803,0.0,0.0,5202446009.58,550.0,245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.89,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,4.7452,0.8595,0.8007,0.0588,3.2721,3.549,-0.2769,10.7439,23.7255,52.8287,1.5165,0.0,0.0,677088241.54,1819.0,304,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,55.13,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,6.3569,0.7593,0.7469,0.0124,3.0573,3.3186,-0.2614,10.0988,21.7041,48.2977,1.3798,0.0,0.0,6246266422.87,6659.0,304,0.0,0.0,0.0,0.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,54.34,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
ICE,TEB PORTFÖY ICBC TURKEY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,128.1003,0.7409,0.7326,0.0083,3.0286,3.2741,-0.2454,9.9241,21.3814,46.694,1.3571,0.0,0.0,1570340977.58,4636.0,304,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,52.32,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
IDL,AKTİF PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,6.0583,0.7749,0.7749,0.0,3.1636,3.3451,-0.1815,10.2559,21.9197,47.1142,1.3751,0.0,0.0,3198692489.24,3876.0,304,,,,,,,,,,,,,,,2026-08-24,2026-08-24,2026-08-24 09:12:33
